District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Korce,Kolonje,Clirim,125,31,21,13,495,177,190,0.3838383838383838
Korce,Kolonje,Erseke,1436,691,382,173,5473,2509,2682,0.4900420244838297
Korce,Kolonje,Leskovik,414,394,74,56,2258,882,938,0.4154118689105403
Korce,Kolonje,Mollas (KO),523,487,83,51,2638,1093,1144,0.4336618650492798
Korce,Kolonje,Novosele (KO),164,63,27,22,436,254,276,0.6330275229357798
Korce,Kolonje,Qender-Erseke,776,496,277,115,3146,1549,1664,0.5289256198347108
Korce,Kolonje,Qender-Leskovik,78,45,12,9,339,135,144,0.4247787610619469
Korce,Korce,Drenove,1498,1152,335,140,8918,2985,3125,0.3504148912312178
Korce,Korce,Lekas,145,49,38,20,667,232,252,0.3778110944527736
Korce,Korce,Mollaj,1040,903,242,180,5702,2185,2365,0.41476674850929496
Korce,Korce,Qender-Bulgarec,2346,2528,386,273,11134,5260,5533,0.496946290641279
Korce,Korce,Vithkuq,343,194,53,48,1270,590,638,0.5023622047244094
Korce,Korce,Voskop,981,1118,175,113,4633,2274,2387,0.5152169220807252
Korce,Korce,Voskopoje,324,284,106,35,1857,714,749,0.403338718362951
Korce,Korce,Korce,14160,12035,3207,1120,75079,29402,30522,0.4065317865182008
Korce,Maliq,Gore,445,437,56,35,1718,938,973,0.5663562281722934
Korce,Maliq,Libonik,3010,1757,397,320,10908,5164,5484,0.5027502750275028
Korce,Maliq,Maliq,1685,833,219,164,6376,2737,2901,0.4549874529485571
Korce,Maliq,Moglice,344,132,21,33,1021,497,530,0.5190989226248776
Korce,Maliq,Pirg,1925,1769,372,212,7652,4066,4278,0.5590695243073707
Korce,Maliq,Pojan,2744,2863,578,348,13438,6185,6533,0.4861586545616907
Korce,Maliq,Vreshtas,1896,1525,293,311,8150,3714,4025,0.4938650306748466
Korce,Pogradec,Bucimas,2832,3451,897,696,15168,7180,7876,0.5192510548523207
Korce,Pogradec,Cerrave,1636,1630,465,371,7462,3731,4102,0.549718574108818
Korce,Pogradec,Dardhas,573,590,137,137,2678,1300,1437,0.5365944734876774
Korce,Pogradec,Porgradec,6745,4493,1331,863,32073,12569,13432,0.4187946247622611
Korce,Pogradec,Proptisht,1245,622,197,202,4484,2064,2266,0.5053523639607493
Korce,Pogradec,Trebinje,506,332,141,109,2355,979,1088,0.46199575371549895
Korce,Pogradec,Udenisht,1539,1125,352,297,5977,3016,3313,0.5542914505604819
Korce,Pogradec,Velcan,623,266,195,135,2305,1084,1219,0.5288503253796095
Korce,Pustec,Pustec,867,473,193,73,4366,1533,1606,0.3678424186898763
Kukes,Has,Fajze,489,842,15,83,3175,1346,1429,0.45007874015748034
Kukes,Has,Gjinaj,131,243,3,41,823,377,418,0.5078979343863913
Kukes,Has,Golaj,956,1791,31,128,6004,2778,2906,0.48401065956029315
Kukes,Has,Krume,1095,1900,32,236,6126,3027,3263,0.5326477309826967
Kukes,Kukes,Arren,79,79,1,2,316,159,161,0.509493670886076
Kukes,Kukes,Bicaj,850,1423,44,113,4473,2317,2430,0.5432595573440644
Kukes,Kukes,Bushtrice,284,212,9,14,1046,505,519,0.4961759082217973
Kukes,Kukes,Gryke Caje,123,300,18,21,1169,441,462,0.39520958083832336
Kukes,Kukes,Kalis,130,159,5,11,626,294,305,0.48722044728434505
